"nota","tgl","kode","tarif","fpkt"
"JL23080008","2023-08-08","0009","45000",
"JL23080009","2023-08-08","0008","40000",
"JL23080009","2023-08-08","0009","45000",
"JL23080010","2023-08-08","0028","97500","**"
"JL23080011","2023-08-09","0006","45000",
"JL23080012","2023-08-09","0006","45000",
"JL23080013","2023-08-09","0006","45000",
"JL23080014","2023-08-09","0019","135000",
"JL23080014","2023-08-09","0023","35000",
"JL23080015","2023-08-10","0038","20000",
"JL23080015","2023-08-10","0036","230000",
"JL23080016","2023-08-11","0006","45000",
"JL23080017","2023-08-12","0018","93750","**"
"JL23080018","2023-08-12","0031","150000","**"
"JL23080019","2023-08-12","0032","60000",
"JL23080020","2023-08-12","0019","101250","**"
"JL23080021","2023-08-12","0019","101250","**"
"JL23080022","2023-08-14","0010","40000",
"JL23080022","2023-08-14","0010","40000",
"JL23080022","2023-08-14","0039","40000",
"JL23080022","2023-08-14","0039","40000",
"JL23080022","2023-08-14","0012","65000",
"JL23080023","2023-08-15","0035","110000",
"JL23080024","2023-08-16","0020","135000",
"JL23080024","2023-08-16","0023","35000",
"JL23080025","2023-08-18","0012","65000",
"JL23080025","2023-08-18","0011","45000",
"JL23080026","2023-08-18","0007","50000",
"JL23080026","2023-08-18","0035","110000",
"JL23080027","2023-08-19","0028","97500","**"
"JL23080028","2023-08-20","0020","135000",
"JL23080029","2023-08-20","0031","200000",
"JL23080029","2023-08-20","0031","200000",
"JL23080030","2023-08-21","0019","135000",
"JL23080031","2023-08-21","0019","101250","**"
"JL23080032","2023-08-23","0024","135000",
"JL23080033","2023-08-25","0004","120000",
"JL23080033","2023-08-25","0004","120000",
"JL23080034","2023-08-25","0010","40000",
"JL23080035","2023-08-26","0038","30000",
"JL23080036","2023-08-27","0022","25000",
"JL23080036","2023-08-27","0016","70000",
"JL23080036","2023-08-27","0038","30000",
"JL23080037","2023-08-27","0017","99000",
"JL23080038","2023-08-27","0013","120000",
"JL23080038","2023-08-27","0009","45000",
"JL23080038","2023-08-27","0031","200000",
"JL23080038","2023-08-27","0032","60000",
"JL23080038","2023-08-27","0023","35000",
"JL23080039","2023-08-29","0003","95000",
"JL23080039","2023-08-29","0023","35000",
"JL23080040","2023-08-30","0008","40000",
"JL23080040","2023-08-30","0009","45000",
"JL23080041","2023-08-31","0035","110000",
"JL23080042","2023-08-31","0035","110000",
"JL23080043","2023-08-31","0020","135000",
"JL23080044","2023-08-31","0010","40000",
"JL23080044","2023-08-31","0039","40000",
"JL23080045","2023-08-31","0023","35000",
"JL23090001","2023-09-01","0019","135000",
"JL23090002","2023-09-01","0022","25000",
"JL23090003","2023-09-02","0010","40000",
"JL23090004","2023-09-02","0024","135000",
"JL23090005","2023-09-02","0024","135000",
"JL23090006","2023-09-02","0019","135000",
"JL23090007","2023-09-02","0013","120000",
"JL23090008","2023-09-02","0008","40000",
"JL23090008","2023-09-02","0009","45000",
"JL23090009","2023-09-02","0009","45000",
"JL23090008","2023-09-02","0008","40000",
"JL23090008","2023-09-02","0009","45000",
"JL23090009","2023-09-02","0009","45000",
"JL23090009","2023-09-02","0024","80000",
"JL23090010","2023-09-03","0017","99000",
